ID,Date,Attack,Target Class,Attack Class,Alpha 2,Initial Access,Event,WCCI Rank,Country,WCI Score
139,16/02/2016,Brute Force?,Industry: Music Streaming,CC,RU,,,1.0,Russia,58.39
140,16/02/2016,Unknown,Industry: Utility,CC,US,,,4.0,United States,25.01
141,16/02/2016,Unknown,Law Enforcement,CC,US,,,4.0,United States,25.01
142,16/02/2016,Unknown,Online Games,CC,US,,,4.0,United States,25.01
143,17/02/2016,Unknown,Industry: E-Commerce,CC,US,,,4.0,United States,25.01
144,17/02/2016,Unknown,Industry: Recruiting,CC,IN,,,10.0,India,6.13
146,19/02/2016,Targeted Attack,Government,CE,IL,,,16.0,Israel,2.51
147,19/02/2016,Unknown,Industry: Video Games,CC,CZ,,,40.0,Czech Republic,0.59
149,22/02/2016,Unknown,Healthcare,CC,US,,,4.0,United States,25.01
150,22/02/2016,DDoS,Government,H,IT,,,35.0,Italy,0.8
151,22/02/2016,Unknown,Government,H,FR,,,29.0,France,1.17
152,22/02/2016,Unknown,Law Enforcement,H,US,,,4.0,United States,25.01
153,24/02/2016,Targeted Attack,>1,CE,JP,,,93.0,Japan,0.11
154,24/02/2016,Account Hijacking,Single Individual,CC,US,,,4.0,United States,25.01
156,25/02/2016,Backdoor via Joomla plugin vulnerability,Finance,CC,US,,,4.0,United States,25.01
157,25/02/2016,Unknown,Industry: Stamps,CC,US,,,4.0,United States,25.01
158,25/02/2016,Malware,Industry: E-Commerce,CC,US,,,4.0,United States,25.01
159,26/02/2016,Unknown,Education,CC,US,,,4.0,United States,25.01
160,26/02/2016,DDoS,Education,CC,US,,,4.0,United States,25.01
161,26/02/2016,Unknown,Online Games,CC,US,,,4.0,United States,25.01
162,27/02/2016,Unknown,Law Enforcement,H,US,,,4.0,United States,25.01
164,27/02/2016,Unknown,Industry: Web Hosting,H,IT,,,35.0,Italy,0.8
165,28/02/2016,Account Hijacking,Industry: Software,CC,US,,,4.0,United States,25.01
166,28/02/2016,SQLi,Industry: Telco,CC,US,,,4.0,United States,25.01
169,29/02/2016,Malware,Finance,CC,IL,,P,16.0,Israel,2.51
170,29/02/2016,SQLi,Dating,CC,CA,,P,25.0,Canada,1.34
171,01/03/2016,Account Hijacking,Industry: Computer Storage,CC,US,,,4.0,United States,25.01
173,01/03/2016,SQLi,Finance,CC,US,,,4.0,United States,25.01
175,01/03/2016,Account Hijacking,Industry: Legal Services,CC,US,,,4.0,United States,25.01
176,01/03/2016,Unknown,Industry: Plastic Surgery,CC,RU,,,1.0,Russia,58.39
178,02/03/2016,Account Hijacking,Industry: Concrete,CC,US,,,4.0,United States,25.01
179,02/03/2016,Unknown,Online Services,CC,US,,,4.0,United States,25.01
181,03/03/2016,Unknown,Industry: Telco,CC,US,,,4.0,United States,25.01
182,04/03/2016,Account Hijacking,Industry: Financial Services,CC,US,,,4.0,United States,25.01
183,04/03/2016,Account Hijacking,Industry: Publishing,CC,US,,,4.0,United States,25.01
184,04/03/2016,Account Hijacking,Industry: Telco,CC,US,,,4.0,United States,25.01
185,04/03/2016,POS Malware,Industry: Hotel and Hospitality,CC,US,,,4.0,United States,25.01
186,04/03/2016,Unknown,>1,H,RU,,,1.0,Russia,58.39
187,04/03/2016,SQLi,Gambling,H,IT,,,35.0,Italy,0.8
188,05/03/2016,Account Hijacking,Single Individual,H,US,,,4.0,United States,25.01
189,05/03/2016,Unknown,Law Enforcement,CW,US,,,4.0,United States,25.01
190,05/03/2016,Unknown,Industry: News,CW,KR,,,36.0,South Korea,0.79
191,07/03/2016,Targeted Attack,Government,CE,TR,,,28.0,Turkey,1.22
192,07/03/2016,Targeted Attack,Government,CE,IN,,,10.0,India,6.13
193,07/03/2016,Unknown,Industry: Food manufacturing,CC,JP,,,93.0,Japan,0.11
194,08/03/2016,Malware,Government,CE,KR,,,36.0,South Korea,0.79
196,08/03/2016,Unknown,Industry: Retail,CC,US,,,4.0,United States,25.01
197,08/03/2016,Unknown,Industry: Home routers,CC,US,,,4.0,United States,25.01
198,08/03/2016,Unknown,Healthcare,CC,US,,,4.0,United States,25.01
199,09/03/2016,Targeted Attack,Government,CE,KR,,,36.0,South Korea,0.79
200,09/03/2016,Account Hijacking,Industry: Payroll Services,CC,US,,,4.0,United States,25.01
202,10/03/2016,Unknown,Healthcare,CC,US,,,4.0,United States,25.01
203,10/03/2016,Unknown,Industry: Financial Services,CC,US,,,4.0,United States,25.01
204,10/03/2016,Unknown,Forum,CC,US,,,4.0,United States,25.01
205,10/03/2016,SQLi,Online Services,CC,US,,,4.0,United States,25.01
207,11/03/2016,Unknown,Industry: DDoS protection,CC,US,,,4.0,United States,25.01
208,11/03/2016,DDoS,Entertainment,CC,US,,,4.0,United States,25.01
209,11/03/2016,Unknown,Education,CC,US,,,4.0,United States,25.01
210,13/03/2016,DDoS,Government,H,US,,,4.0,United States,25.01
212,14/03/2016,Unknown,Healthcare,CC,US,,,4.0,United States,25.01
213,15/03/2016,SQLi,Online Services,CC,FR,,,29.0,France,1.17
215,15/03/2016,Unknown,Industry: Retail,CC,US,,,4.0,United States,25.01
216,15/03/2016,Account Hijacking,Single Individuals,CC,RU,,,1.0,Russia,58.39
217,15/03/2016,Unknown,Industry: Parking,CC,US,,,4.0,United States,25.01
218,15/03/2016,Mobile Malware,Military,CE,IN,,,10.0,India,6.13
219,16/03/2016,Unknown,Org: Political Party,CC,CH,,,41.0,Switzerland,0.55
220,16/03/2016,DDoS,"Transportation
Industry: Retail",CC,CH,,,41.0,Switzerland,0.55
221,17/03/2016,Unknown,Org: Education,CC,US,,,4.0,United States,25.01
222,17/03/2016,Unknown,Industry: Hotel and Hospitality,CC,US,,,4.0,United States,25.01
223,18/03/2016,Unknown,Org: Sport,CC,US,,,4.0,United States,25.01
224,18/03/2016,Unknown,Industry: Tourism,H,JP,,,93.0,Japan,0.11
226,18/03/2016,Unknown,Bitcoin Exchange,CC,US,,,4.0,United States,25.01
227,19/03/2016,DDoS,News,CC,SE,,,71.0,Sweden,0.21
228,19/03/2016,Account Hijacking,Bitcoin Exchange,CC,NG,,,5.0,Nigeria,21.28
229,20/03/2016,Malicious PHP injection via Wordpress Vulnerability,Org: Security Professionals,CC,US,,,4.0,United States,25.01
231,20/03/2016,DDoS,Government,H,US,,,4.0,United States,25.01
232,21/03/2016,Joomla Vulnerability,Healthcare,CC,CA,,,25.0,Canada,1.34
233,21/03/2016,Malware,Education,CC,CA,,,25.0,Canada,1.34
235,22/03/2016,Account Hijacking,Industry: Software,CC,US,,,4.0,United States,25.01
236,22/03/2016,Account Hijacking,Education,CC,US,,,4.0,United States,25.01
237,22/03/2016,Malvertising,Several Individuals,CC,CN,,,3.0,China,27.86
238,23/03/2016,Account Hijacking,Industry: Grocery,CC,US,,,4.0,United States,25.01
239,23/03/2016,Account Hijacking,Industry: Hotel and Hospitality,CC,US,,,4.0,United States,25.01
240,24/03/2016,Mongo DB Vulnerability,Industry: Telco,CC,IT,,,35.0,Italy,0.8
241,24/03/2016,Targeted Attack,Military,CE,IN,,,10.0,India,6.13
242,24/03/2016,SQLi,Sport,CC,US,,,4.0,United States,25.01
243,24/03/2016,Unknown,Industry: Software,CC,US,,,4.0,United States,25.01
244,24/03/2016,Account Hijacking,Org: Home Care,CC,US,,,4.0,United States,25.01
245,25/03/2016,Malvertising,Community,CC,AU,,H,34.0,Australia,0.95
246,25/03/2016,Account Hijacking,Industry: Anti-Counterfeiting,CC,US,,H,4.0,United States,25.01
247,25/03/2016,Account Hijacking,Education,CC,US,,H,4.0,United States,25.01
248,25/03/2016,Malware,Healthcare,CC,US,,H,4.0,United States,25.01
249,26/03/2016,Unknown,Single Individuals,CC,JP,,,93.0,Japan,0.11
250,27/03/2016,Unknown,Government,H,PH,,,27.0,Philippines,1.24
252,27/03/2016,Defacement,Industry: Mining,H,CA,,,25.0,Canada,1.34
253,28/03/2016,Unauthorized Access,Education,CC,US,,,4.0,United States,25.01
254,29/03/2016,Malvertising,Social Network,CW,US,,,4.0,United States,25.01
255,29/03/2016,Targeted Attack,Law Firms,CC,US,,,4.0,United States,25.01
257,29/03/2016,Defacement,Industry: Oil and Energy,H,KE,,,63.0,Kenya,0.31
258,29/03/2016,Defacement,Government,H,AO,,,56.0,Angola,0.35
260,30/03/2016,DDoS,Bitcoin Exchange,CC,US,,,4.0,United States,25.01
261,31/03/2016,SQLi,Adult Site,CC,US,,P,4.0,United States,25.01
263,01/04/2016,Defacement,Government,CW,AM,,,52.0,Armenia,0.41
264,02/04/2016,Defacement,Government,CW,AZ,,,87.0,Azerbaijan,0.13
265,02/04/2016,Unknown,Industry: E-Commerce,CC,US,,,4.0,United States,25.01
266,04/04/2016,Targeted Attack,Government,CE,US,,,4.0,United States,25.01
267,04/04/2016,PoS Malware,Industry: Hotel and Hospitality,CC,US,,,4.0,United States,25.01
268,04/04/2016,Account Hijacking,Education,CC,US,,,4.0,United States,25.01
269,05/04/2016,Wordpress Vulnerability,Industry: Legal Services,H,PA,,,49.0,Panama,0.45
270,05/04/2016,Unknown,Government,CC,TR,,,28.0,Turkey,1.22
272,05/04/2016,Account Hijacking,Radio Station,CC,US,,,4.0,United States,25.01
273,05/04/2016,Account Hijacking,Healthcare,CC,US,,,4.0,United States,25.01
274,06/04/2016,Unknown,Bitcoin Exchange,CC,FR,,,29.0,France,1.17
277,07/04/2016,Account Hijacking,Government,H,AM,,,52.0,Armenia,0.41
278,07/04/2016,Unknown,Online Services,CC,CZ,,,40.0,Czech Republic,0.59
280,09/04/2016,Unknown,Industry: Job Seeking,H,IT,,,35.0,Italy,0.8
281,09/04/2016,Unknown,Industry: Construction,CC,US,,,4.0,United States,25.01
282,10/04/2016,SQLi,Education,CC,US,,M,4.0,United States,25.01
283,10/04/2016,Unknown,Online Services,CC,IN,,M,10.0,India,6.13
284,11/04/2016,Unknown,Military,CC,SE,,,71.0,Sweden,0.21
285,11/04/2016,Malvertising,>1,CC,NL,,,19.0,Netherlands,1.92
286,12/04/2016,Targeted Attack,Government,CW,SE,,,71.0,Sweden,0.21
287,12/04/2016,Unknown,Adult Sites,CC,US,,,4.0,United States,25.01
288,12/04/2016,SQLi,Government,H,SY,,,94.0,Syria,0.09
289,13/04/2016,Unknown,Forum,CC,US,,,4.0,United States,25.01
290,13/04/2016,Account Hijacking,Education,CC,US,,,4.0,United States,25.01
291,13/04/2016,DDoS,Education,H,CA,,,25.0,Canada,1.34
292,14/04/2016,DDoS,Industry: Video Games,CC,US,,,4.0,United States,25.01
294,15/04/2016,SQLi,Online Services,CC,IT,,,35.0,Italy,0.8
295,15/04/2016,Account Hijacking,Government,CC,US,,,4.0,United States,25.01
296,15/04/2016,Defacement,Government,H,US,,,4.0,United States,25.01
297,15/04/2016,Unknown,Industry: Financial Services,CC,US,,,4.0,United States,25.01
298,15/04/2016,Unknown,Healthcare,CC,US,,,4.0,United States,25.01
301,17/04/2016,Unknown,Bitcoin Casino,CC,US,,,4.0,United States,25.01
302,18/04/2016,Account Hijacking,Single Individuals,CC,US,,,4.0,United States,25.01
303,18/04/2016,Malware,Law Enforcement,CC,US,,,4.0,United States,25.01
304,18/04/2016,Unknown,Industry: Cosmetics,CC,US,,,4.0,United States,25.01
305,18/04/2016,SQLi,Industry: Furniture,CC,US,,,4.0,United States,25.01
307,19/04/2016,Account Hijacking,Industry: Bitcoin Exchange,CC,US,,,4.0,United States,25.01
308,19/04/2016,Directory Traversal Attack,Industry: Insurance,CC,US,,,4.0,United States,25.01
309,19/04/2016,SQLi,Education,CC,EG,,,97.0,Egypt,0.08
311,21/04/2016,Unknown,Org: Religion,CC,US,,,4.0,United States,25.01
312,21/04/2016,Unknown,Industry: Software,CC,US,,,4.0,United States,25.01
315,22/04/2016,DDoS,Government,H,US,,,4.0,United States,25.01
316,22/04/2016,Defacement,Org: Religion,CW,US,,,4.0,United States,25.01
317,24/04/2016,DDoS,Org: Politics,H,US,,,4.0,United States,25.01
318,24/04/2016,Unknown,Online Bet,CC,ZA,,,14.0,South Africa,2.58
319,25/04/2016,Unknown,Dating,CC,US,,,4.0,United States,25.01
321,25/04/2016,Malware,Utility,CC,US,,,4.0,United States,25.01
322,25/04/2016,Unknown,Industry: Music,CC,SE,,,71.0,Sweden,0.21
323,25/04/2016,PoS Malware?,Industry: Hotel and Hospitality,CC,US,,,4.0,United States,25.01
324,26/04/2016,Unknown,Industry: Video Games,CC,US,,,4.0,United States,25.01
325,26/04/2016,Malware,Industry: Utility,CC,DE,,,18.0,Germany,2.17
326,26/04/2016,Unknown,Industry: Gold Mining,CC,CA,,,25.0,Canada,1.34
327,26/04/2016,Targeted Attack,Industry: Steel,CE,US,,,4.0,United States,25.01
328,27/04/2016,Malvertising,Torrent ,CC,SE,,,71.0,Sweden,0.21
331,27/04/2016,Exploited Undisclosed Vulnerability,Industry: E-Commerce,CC,US,,,4.0,United States,25.01
332,27/04/2016,Unknown,Government,H,KE,,,63.0,Kenya,0.31
333,28/04/2016,Account Hijacking,Education,CC,US,,,4.0,United States,25.01
334,28/04/2016,Exploited Undisclosed Vulnerability,Industry: Retail,CC,US,,,4.0,United States,25.01
337,29/04/2016,Account Hijacking,Industry: Conglomerate,CC,US,,P,4.0,United States,25.01
338,29/04/2016,Targeted Attack,>1,CE,JP,,P,93.0,Japan,0.11
339,29/04/2016,Account Hijacking,Single Individuals,CC,US,,P,4.0,United States,25.01
340,29/04/2016,Unknown,Single Individuals,CW,US,,P,4.0,United States,25.01
341,30/04/2016,DDoS,Org: Social Movement/Activism,H,US,,,4.0,United States,25.01
342,30/04/2016,Account Hijacking,Industry: System Integration,CC,US,,,4.0,United States,25.01
343,02/05/2016,Account Hijacking,Industry: Payroll Services,CC,US,,H,4.0,United States,25.01
344,02/05/2016,Unknown,Military,CW,US,,H,4.0,United States,25.01
345,02/05/2016,Targeted Attack,>1,CE,IL,,H,16.0,Israel,2.51
346,02/05/2016,SQLi,Industry: Job Search,CC,AU,,H,34.0,Australia,0.95
347,03/05/2016,DDoS,Finance,H,GR,,,74.0,Greece,0.19
348,03/05/2016,Malware,Social Club,CC,US,,,4.0,United States,25.01
349,04/05/2016,Malvertising,Industry: Broadcast,CE,US,,,4.0,United States,25.01
352,05/05/2016,Unknown,Industry: Financial Services,CC,US,,,4.0,United States,25.01
353,05/05/2016,Malware,Org: Non-Profit,CC,US,,,4.0,United States,25.01
354,05/05/2016,Unknown,Virtual Community,CC,US,,,4.0,United States,25.01
356,05/05/2016,DDoS,Finance,H,CY,,,42.0,Cyprus,0.52
357,05/05/2016,Defacement,Social Network,CC,US,,,4.0,United States,25.01
358,05/05/2016,Account Hijacking,Healthcare,CC,US,,,4.0,United States,25.01
359,05/05/2016,Targeted Attack,Industry: Defence Contractor,CE,CH,,,41.0,Switzerland,0.55
360,06/05/2016,SQLi,Hacker Forum,CC,US,,,4.0,United States,25.01
361,06/05/2016,Unknown,Single Individual,H,RU,,,1.0,Russia,58.39
362,06/05/2016,Unknown,Adult Site,CC,US,,,4.0,United States,25.01
363,06/05/2016,Unknown,Finance,CC,AE,,,24.0,United Arab Emirates,1.55
367,09/05/2016,Unknown,Industry: Software,CC,US,,,4.0,United States,25.01
368,09/05/2016,Malvertising,Blog,CC,US,,,4.0,United States,25.01
369,09/05/2016,Malware,Healthcare,CC,US,,,4.0,United States,25.01
370,09/05/2016,SQLi,Industry: Car Rental,CC,FR,,,29.0,France,1.17
371,10/05/2016,Defacement,Education,H,IN,,,10.0,India,6.13
372,11/05/2016,Targeted Attack,Industry: Defense,CE,KR,,,36.0,South Korea,0.79
373,11/05/2016,Targeted Attack,Government,CE,DE,,,18.0,Germany,2.17
374,11/05/2016,Malware,Healthcare,CC,US,,,4.0,United States,25.01
375,12/05/2016,Unknown,Single Individuals,CC,CN,,,3.0,China,27.86
381,13/05/2016,SQLi,Education,H,ZA,,,14.0,South Africa,2.58
383,13/05/2016,Account Hijacking,Industry: Software,CC,US,,,4.0,United States,25.01
386,14/05/2016,DDoS,Government,H,US,,,4.0,United States,25.01
387,14/05/2016,Undisclosed Vulnerability,Adult Site,CC,US,,,4.0,United States,25.01
388,14/05/2016,Malware,Industry: Sportswear,CC,NL,,,19.0,Netherlands,1.92
395,18/05/2016,Targeted Attack,Single Individuals,CE,UA,,,2.0,Ukraine,36.44
396,18/05/2016,Unknown,Government,CC,US,,,4.0,United States,25.01
397,18/05/2016,SQLi,Healthcare,H,TR,,,28.0,Turkey,1.22
398,18/05/2016,Malware,Healthcare,CC,US,,,4.0,United States,25.01
399,18/05/2016,SQLi,News,CC,AU,,,34.0,Australia,0.95
400,19/05/2016,PoS Malware,Industry: Restaurant,CC,US,,,4.0,United States,25.01
401,20/05/2016,Targeted Attack,Finance,CC,EC,,,55.0,Ecuador,0.36
402,20/05/2016,ImageMagick Vulnerability,Forum,CC,US,,,4.0,United States,25.01
403,20/05/2016,Malware,Industry: Networking,CC,US,,,4.0,United States,25.01
404,20/05/2016,SQLi,Law Enforcement,H,ES,,,66.0,Spain,0.27
405,21/05/2016,Unknown,Online Services,CC,US,,,4.0,United States,25.01
406,22/05/2016,Unknown,Industry: Restaurant,CC,AE,,,24.0,United Arab Emirates,1.55
407,22/05/2016,SQLi,Industry: Restaurant,CC,AR,,,83.0,Argentina,0.14
408,22/05/2016,Unknown,News,CC,KE,,,63.0,Kenya,0.31
409,23/05/2016,Unknown,Healthcare,CC,US,,,4.0,United States,25.01
410,23/05/2016,Defacement,Online Services,H,FR,,,29.0,France,1.17
412,23/05/2016,SQLi,Real Estate,CC,AU,,,34.0,Australia,0.95
413,24/05/2016,Unknown,Government,CE,IR,,,11.0,Iran,4.78
414,24/05/2016,Unknown,Online Services,CC,CH,,,41.0,Switzerland,0.55
415,25/05/2016,DDoS,Industry: Internet Services,CC,US,,,4.0,United States,25.01
417,26/05/2016,Undisclosed Vulnerability,Online Services,CC,US,,,4.0,United States,25.01
418,27/05/2016,Unknown,Social Network,CC,US,,,4.0,United States,25.01
420,27/05/2016,Account Hijacking,Social Network,CC,US,,,4.0,United States,25.01
421,27/05/2016,Unknown,Healthcare,CC,US,,,4.0,United States,25.01
422,27/05/2016,DDoS,Online Marketplace,CC,IL,,,16.0,Israel,2.51
423,27/05/2016,Unknown,Online Services,CC,US,,,4.0,United States,25.01
424,28/05/2016,Defacement,Real Estate,CC,PK,,,44.0,Pakistan,0.51
425,29/05/2016,Targeted Attack,Single Individuals,CE,AE,,,24.0,United Arab Emirates,1.55
427,29/05/2016,Unknown,Transport,CC,AU,,,34.0,Australia,0.95
428,30/05/2016,Unknown,Social Network,CC,US,,H,4.0,United States,25.01
429,30/05/2016,Account Hijacking,Single Individual,CC,US,,H,4.0,United States,25.01
430,30/05/2016,SQLi,Industry: Energy,H,KE,,H,63.0,Kenya,0.31
431,31/05/2016,SQLi,Law Enforcement,H,ES,,P,66.0,Spain,0.27
432,31/05/2016,Unknown,Real Estate,CC,IN,,P,10.0,India,6.13
433,01/06/2016,Undisclosed Vulnerability,Org: Software,CC,US,,,4.0,United States,25.01
434,01/06/2016,Unknown,Road Signs,CC,US,,,4.0,United States,25.01
436,01/06/2016,DDoS,News,H,US,,,4.0,United States,25.01
437,02/06/2016,Unknown,Social Network,CC,CN,,,3.0,China,27.86
